rows 105
cols 95
players 5
m %%%...........................%%..%%%%%%....%.................%....%.......................%%%%
m %%%%..................%..%....%%.%%%%%.........................%........................%%%%%%%
m %%%%..............%...%%%....%..%%%%%%%%...................%%%.%.........................%%%%%%
m ................................%%%%%%..................................................%..%%%%
m ................................%%%%%............................%.......%........%..........%%
m %...................%............%..%..........................%%%.%.....%...............%...%%
m %..%.%%%%%....%%%..%%...............%.%....%..........%.........%...........%%................%
m %.%%%%%%%%....%...%%....%...........%%%.............%%%%.%%%............%%..%%....%..........e.
m ...%%%%%%%%%......%%...%%..........%%%%........%....%%%..%%%%........%..%%%%%%.....%%%.........
m ...%%%%%%%%%..............%%.......%%%%.................%%%%%....%%..%.%%...%%%.....%%.........
m .%%%%%%%%%%%%%....%..............%%%%........%.%.......%%%%%...........%%%....%......%......%..
m %%%%%%%%%%%.%%........%%%...........%%%.....%%.%...%....%%...%..%%%..%.%%%.%................%..
m %%%%%.%%%%%..........%%%%.......%%..%..%%%.....%...%....%%.%%%..%%...%.%%%%.......%..%%.....%%%
m %%.%%..............%%%%%%........%.....%%%........%%...%%...%%%.%%%....%%%%...%...%%%%%.....%%%
m %..%%...%...%......%....%...............%%%...%%...%%.%%%....%%.%%%...........%.%%%%%.....%%...
m ...%....%...%.........%...............%%%%%%%%%%%%......%.......%%%...........%...%%%.%....%...
m %..%%................%%..%%%.........%%%%..%%%%.........%%......%%%%........%%..%........%%%...
m %....................%%%%%%%........%%%%......%.%......%%......%%%%.............%.......%%.....
m %%%...%.....%........%%%.%.%........%%%%%.......%.....%%%..%...%%%....................%%%%...%%
m %%.........%...%....%%%%...%........%%%..%.%%..%%....%%.....%....%....................%%..%..%%
m %%%%%.......%.........................%%..............%...................%...........%%..%..%%
m %%%%%%......%.....%....%.%.........%...%.....%.%.....%%%.%................%..................%%
m %%%%%%..%%.%%..........................................%.........%%.%....%%..................%%
m %%%%.%.%%%............%%.%.........%.............................%%%%..%%%%..........%.%.....%%
m %%%%...%%%%...%%......%%.%%%.....%%.............%................%.%%%%%%%%%%.%%.............%%
m %%%%%%%%%%%%%%%%.......%%.......%%%.............%%..........%.......%%%%%%%%%%%%.........%...%%
m %%%%%%%%%%%%%%%%.......%%%..................................%...%.....%%%..%%%%%..%%%....%...%%
m %%%%%%%%%%%%%%%%.......%%......%%.................................%%..%.%....%%%%%.......%..%%%
m %%%%%%%%%%%%%%%%.......%.......%%......................a................%.%....%%%%....%%%%%%%%
m %%%%%%%%%%%%%%%%%..........................%%%%.........%%.%.............%%%...%%%.%%.%%....%%%
m %%%%%%%%%%%%%%%%%..........................%%%%.........%%.%.............%....%%....%%%%.......
m ..%%%%%%%..%%%%%...%.......................%%%....................................%.%%%%%.%%%%.
m ...%%%%%%.............%.........%..........%%%............%.......................%.%%%%%...%.%
m ....%%%%.............%%...................%%%%%..............%.................................
m .................%%%%%....................%%%%%%.....%....%..%.........%................%......
m ....%............%%%%%%.....%...............%%..........%%..............%%%....................
m ..........%....%%%%%%%%...%%.........%...........%......%%..%..%..............%................
m ....%...%%.....%%%%%%%....%%...............%%............%%.%%.%..%%%.........%................
m .....%..........%%%%%%%.%.%%....%......%%%%%%%...........%%..%......%%.%......%%...............
m ...%....%........%%%%%%%%%%.....%%......%%%%%%.....%%........%%.%%..%%.%%%%.%%%%...............
m ...%.%..%%.......%%%%%%%%.....%%%%%%.....%%%%%%%%..%.........%%....%%%.%%%%%%%%...............%
m ........%%%....%%%%%%%%%%..%.%%%%%%%%...%%%%%%.....%........%......%%%.%..%%%...........%......
m ..%..%.%%%%....%%%%%%%%%%........%%%%...%%%%%..%%...................%%....%%%.......%..........
m ..%..%%%%%...%%%%%%%%%%%%%.......%%.....%%%%...............%........%%%%..%%.......%%%.%....%%.
m %...%%........%%%%%%%%%%%%%............%%%%%...............%........%%%%%......%%%%..........%.
m %%.%...........%%%%%%%%%%%%%%..........%%%%..........%............%%%%.%%.....%%%%%.%%.........
m %..%............%%%%%%%%%%..........%%%%.%%...........%.%%...%....%%%%.%.........%%%%%%.....%%.
m ..%%%%..........%%%%%..%.................................%..........%%............%%%%%.%.....%
m .%%%........%...%%%%%........................................%....%.%%.%..........%%%%%%%......
m %%%......%%......b%%.........................................%.........%........%...%%%%%%.....
m .%%......%%.%....%%.............%.%..........%..%............%%........%....%.%%%...%%%%%%.....
m ..........%.%.%..%..............%%%%............%...........%%%%.......%%%%..%%%%..%%%%%%.....%
m %.%.....%...%......................%.....%%%..........%.......%%%.....%%%%%%%%%%%%.%%%%.......%
m %%%....%%%....%..........................%%%%..................%%.....%%%%%%%%%%%%.%%%%%.......
m ..%..%...........%.......................%%%%%%..%..............%.%...%%%%%%.......%%%%%...%%..
m ......%.....%%%%..........................%%%%%.....%.................%%%%%..%....%%%%%%%.%%%%.
m ..............%%............................%%%.....%............%..%%%%%...%%%.%%....%%.......
m .............%%%....%%.................%...%%%%%%%%%%%%.......%%....%%.....%%%.%.....%.........
m ............%%%%%%.%%%......%.......%.....%%%%...%%%%%%..%....%.....%......%%%......%%.........
